# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR Ha_SCALE number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
goodss 168 3 1 0 1.3919 1.301 1.342 1.448 1.491 8.8683 6.8379 2.0304 62733000000.0 8466900000.0 0.0 1.392 3.0 27.65 11.11 7871800000.0 5644600000.0 -1.56 -99.0 -99.0 -99.0 -99.0 -99.0 168 00000 -1.0 1.0
goodss 172 3 1 -1 1.2725 1.068 1.141 1.385 1.669 1.4851 1.1677 0.31743 10713000000.0 1323700000.0 0.0 1.273 3.0 6.851 6.263 1540900000.0 882490000.0 -1.88 0.64 0.6 2708.85 52061.92 23.325 172 goodss-15-G141_00172 1.36553 1.0
goodss 178 3 1 0 0.9479 0.92 0.925 0.971 0.976 23.24 22.85 0.3904 209630000000.0 1628000000.0 0.0 0.9479 3.0 433.3 11.16 197160000.0 1085400000.0 2.22 -99.0 -99.0 -99.0 -99.0 -99.0 178 00000 -1.0 2.0
goodss 179 3 1 0 0.7069 0.671 0.687 0.73 0.737 0.21605 -99.0 0.21605 -99.0 900960000.0 2.0 0.7069 3.0 -1.4 12.26 521200000.0 600640000.0 -0.59 -99.0 -99.0 -99.0 -99.0 -99.0 179 00000 -1.0 1.0
goodss 180 3 1 0 1.2043 1.147 1.171 1.239 1.265 2.7128 0.65361 2.0592 5996400000.0 8587100000.0 1.0 1.204 3.0 5.001 11.95 9287300000.0 5724800000.0 -1.81 -99.0 -99.0 -99.0 -99.0 -99.0 180 00000 -1.0 1.0
goodss 181 3 1 -1 2.4733 2.371 2.423 2.529 2.556 7.9071 -99.0 7.9071 -99.0 32974000000.0 2.0 2.473 3.0 -14.68 8.597 39422000000.0 21982000000.0 -1.9 -99.0 -99.0 -99.0 -99.0 -99.0 181 goodss-15-G141_00181 2.53248 1.0
goodss 182 3 1 -1 0.8114 0.754 0.763 0.855 0.985 1.2415 0.91678 0.32472 8410900000.0 1354100000.0 0.0 0.8114 3.0 23.7 7.479 1521600000.0 902760000.0 -1.87 4.82 1.36 634.99 282.05 1.545 182 goodss-15-G141_00182 0.70574 1.0
goodss 184 3 1 -1 1.4855 1.017 1.186 1.836 2.136 0.16411 -99.0 0.16411 -99.0 684370000.0 2.0 1.485 3.0 -6.352 10.12 847740000.0 456250000.0 -1.92 -99.0 -99.0 -99.0 -99.0 -99.0 184 00000 -1.0 1.0
goodss 185 3 1 -1 1.8678 1.292 1.729 2.029 2.115 6.0775 4.4003 1.6772 40369000000.0 6994100000.0 0.0 1.868 3.0 15.87 11.93 7094300000.0 4662800000.0 -1.7 -99.0 -99.0 -99.0 -99.0 -99.0 185 00000 -1.0 1.0
goodss 186 3 1 -1 1.2232 0.865 0.999 1.498 1.864 1.0954 0.86247 0.23289 7912600000.0 971170000.0 1.0 1.223 3.0 6.134 9.833 1104100000.0 647440000.0 -1.86 3.18 0.67 5648948555.9 1.482374023586844e+23 7500537.912 186 goodss-15-G141_00186 1.24566 1.0
