# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR Ha_SCALE number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
cosmos 155 3 1 0 0.9722 0.939 0.946 0.996 1.015 0.57513 -99.0 0.57513 -99.0 2398400000.0 2.0 0.9722 3.0 -11.25 23.31 1704100000.0 1598900000.0 -1.16 -99.0 -99.0 -99.0 -99.0 -99.0 155 00000 -1.0 1.0
cosmos 160 3 1 -1 0.9652 0.864 0.915 1.014 1.049 0.23464 -99.0 0.23464 -99.0 978480000.0 2.0 0.9652 3.0 -10.2 27.5 834090000.0 652320000.0 -1.55 -99.0 -99.0 -99.0 -99.0 -99.0 160 00000 -1.0 1.0
cosmos 163 3 1 0 2.3216 2.238 2.27 2.373 2.411 335.73 331.64 4.0951 3042600000000.0 17077000000.0 0.0 2.322 3.0 622.0 24.08 9070500000.0 11385000000.0 -0.43 -99.0 -99.0 -99.0 -99.0 -99.0 163 00000 -1.0 1.0
cosmos 168 3 1 0 0.9661 0.934 0.943 0.99 0.996 2.2522 0.08648 2.1658 793390000.0 9031500000.0 1.0 0.9661 3.0 1.537 29.81 8864100000.0 6021000000.0 -1.69 -99.0 -99.0 -99.0 -99.0 -99.0 168 00000 -1.0 1.0
cosmos 171 3 1 0 1.9251 1.846 1.874 1.973 2.03 15.527 7.2927 8.234 66905000000.0 34337000000.0 1.0 1.925 3.0 24.52 27.22 30092000000.0 22891000000.0 -1.4 -99.0 -99.0 -99.0 -99.0 -99.0 171 00000 -1.0 1.0
cosmos 172 3 1 -1 1.0271 0.946 0.975 1.093 1.126 0.64931 -99.0 0.64931 -99.0 2707700000.0 2.0 1.027 3.0 -35.93 20.86 3229300000.0 1805100000.0 -1.94 -99.0 -99.0 -99.0 -99.0 -99.0 172 00000 -1.0 1.0
cosmos 174 3 1 -1 0.8548 0.688 0.748 0.93 1.014 0.83459 0.69001 0.14458 6330400000.0 602910000.0 1.0 0.8548 3.0 16.85 24.27 707290000.0 401940000.0 -1.91 -99.0 -99.0 -99.0 -99.0 -99.0 174 00000 -1.0 1.0
cosmos 176 3 1 -1 0.9676 0.927 0.943 0.993 1.009 1.3171 -99.0 1.3171 -99.0 5492400000.0 2.0 0.9676 3.0 -59.09 27.48 6595300000.0 3661600000.0 -1.95 -99.0 -99.0 -99.0 -99.0 -99.0 176 00000 -1.0 1.0
cosmos 179 3 1 -1 0.9024 0.846 0.87 0.934 0.953 0.57446 -99.0 0.57446 -99.0 2395600000.0 2.0 0.9024 3.0 -25.23 28.27 2736300000.0 1597000000.0 -1.91 -99.0 -99.0 -99.0 -99.0 -99.0 179 00000 -1.0 1.0
cosmos 180 3 1 0 0.6776 0.654 0.658 0.698 0.702 4.1074 1.4937 2.6137 13704000000.0 10899000000.0 0.0 0.6776 3.0 55.66 28.21 12704000000.0 7266300000.0 -1.9 -99.0 -99.0 -99.0 -99.0 -99.0 180 00000 -1.0 1.0
cosmos 182 3 1 0 0.7947 0.757 0.772 0.82 0.836 4.3577 3.3336 1.0241 30584000000.0 4270500000.0 0.0 0.7947 3.0 89.01 18.96 2237900000.0 2847000000.0 -0.41 -99.0 -99.0 -99.0 -99.0 -99.0 182 00000 -1.0 1.0
cosmos 186 3 1 0 1.7729 1.707 1.731 1.816 1.845 23.34 19.939 3.4006 182930000000.0 14181000000.0 0.0 1.773 3.0 75.09 28.33 11151000000.0 9454000000.0 -1.25 -99.0 -99.0 -99.0 -99.0 -99.0 186 00000 -1.0 1.0
cosmos 188 3 1 -1 0.7741 0.72 0.734 0.834 0.886 0.49511 0.2953 0.19981 2709200000.0 833220000.0 1.0 0.7741 3.0 8.273 26.45 811780000.0 555480000.0 -1.63 -99.0 -99.0 -99.0 -99.0 -99.0 188 00000 -1.0 1.0
cosmos 190 3 1 -1 0.6939 0.388 0.524 0.869 0.967 0.0449 -99.0 0.0449 -99.0 187240000.0 2.0 0.6939 3.0 -1.871 26.39 205660000.0 124830000.0 -1.88 -99.0 -99.0 -99.0 -99.0 -99.0 190 00000 -1.0 1.0
cosmos 191 3 1 -1 1.0034 0.943 0.965 1.041 1.055 0.58631 -99.0 0.58631 -99.0 2445000000.0 2.0 1.003 3.0 -38.27 25.81 2594500000.0 1630000000.0 -1.78 -99.0 -99.0 -99.0 -99.0 -99.0 191 00000 -1.0 1.0
cosmos 192 3 1 0 0.7606 0.725 0.74 0.783 0.789 2.6519 0.51851 2.1334 4757000000.0 8896700000.0 1.0 0.7606 3.0 15.05 24.14 8727400000.0 5931100000.0 -1.63 -99.0 -99.0 -99.0 -99.0 -99.0 192 00000 -1.0 1.0
cosmos 196 3 1 0 2.1237 2.003 2.043 2.202 2.268 10.627 5.5086 5.1188 50537000000.0 21346000000.0 1.0 2.124 3.0 13.87 26.76 16554000000.0 14231000000.0 -1.14 -99.0 -99.0 -99.0 -99.0 -99.0 196 00000 -1.0 1.0
cosmos 199 3 1 -1 0.9826 0.778 0.927 1.036 1.178 1.7138 1.572 0.14183 14422000000.0 591440000.0 1.0 0.9826 3.0 26.3 28.49 594320000.0 394290000.0 -1.6 -99.0 -99.0 -99.0 -99.0 -99.0 199 00000 -1.0 1.0
cosmos 200 3 1 0 0.939 0.889 0.906 0.992 1.026 2.1384 0.59861 1.5398 5491900000.0 6421000000.0 1.0 0.939 3.0 11.71 24.75 7004900000.0 4280700000.0 -1.87 -99.0 -99.0 -99.0 -99.0 -99.0 200 00000 -1.0 1.0
cosmos 201 3 1 -1 1.3979 1.122 1.147 1.26 1.279 5.0444 4.7865 0.25792 43913000000.0 1075600000.0 1.0 1.398 3.0 19.13 24.02 1239300000.0 717050000.0 -1.86 -99.0 -99.0 -99.0 -99.0 -99.0 201 00000 -1.0 1.0
cosmos 203 3 1 -1 1.9903 1.576 1.734 2.284 2.592 0.74427 -99.0 0.74427 -99.0 3103700000.0 2.0 1.99 3.0 -39.99 24.91 3563100000.0 2069100000.0 -1.88 -99.0 -99.0 -99.0 -99.0 -99.0 203 00000 -1.0 1.0
cosmos 204 3 1 0 2.0926 1.97 2.041 2.15 2.201 54.593 50.505 4.0881 463350000000.0 17048000000.0 0.0 2.093 3.0 133.2 22.45 11740000000.0 11365000000.0 -1.03 -99.0 -99.0 -99.0 -99.0 -99.0 204 00000 -1.0 1.0
cosmos 207 3 1 -1 0.6575 0.47 0.579 0.741 0.817 0.012331 -99.0 0.012331 -99.0 51423000.0 2.0 0.6575 3.0 -20.17 26.41 18909000.0 34282000.0 0.32 -99.0 -99.0 -99.0 -99.0 -99.0 207 00000 -1.0 3.0
