# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR Ha_SCALE number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
goodsn 288 3 1 -1 0.9032 0.744 0.803 0.987 1.033 1.0698 0.6973 0.37251 6397200000.0 1553400000.0 1.0 0.9032 3.0 15.26 20.31 1701200000.0 1035600000.0 -1.84 1.25 1.12 164.91 156.15 0.947 288 goodsn-41-G141_00288 0.7402 1.0
goodsn 291 3 1 -1 1.0559 0.752 0.911 1.191 1.361 5.6197 5.3861 0.23356 49414000000.0 973960000.0 0.0 1.056 3.0 68.48 54.3 1146200000.0 649310000.0 -1.96 1.97 0.67 2162.85 4070790.83 6.823 291 goodsn-41-G141_00291 1.10328 1.0
goodsn 293 3 1 -1 0.8936 0.721 0.801 0.976 1.035 0.31368 0.046941 0.26674 430650000.0 1112300000.0 1.0 0.8936 3.0 1.055 9.317 1174100000.0 741560000.0 -1.65 -99.0 -99.0 -99.0 -99.0 -99.0 293 00000 -1.0 1.0
goodsn 296 2 1 1 1.3432 1.3288 1.3345 1.3475 1.3535 5.1215 3.7667 1.3548 34557000000.0 5649700000.0 0.0 1.343 2.0 17.22 7.992 4076800000.0 3766500000.0 -1.05 -0.17 0.69 -8.38 33.74 0.673 296 goodsn-41-G141_00296 1.34316 1.0
goodsn 298 2 1 1 1.8548 1.7091 1.8014 1.9037 1.9916 101.93 100.08 1.8535 918140000000.0 7729500000.0 0.0 1.855 2.0 365.5 9.975 3907200000.0 5153000000.0 -0.4 -99.0 -99.0 -99.0 -99.0 -99.0 298 goodsn-41-G141_00298 1.85479 1.0
goodsn 301 3 1 -1 1.2421 1.045 1.124 1.359 1.456 0.52386 -99.0 0.52386 -99.0 2184600000.0 2.0 1.242 3.0 -10.99 16.87 2440300000.0 1456400000.0 -1.85 -99.0 -99.0 -99.0 -99.0 -99.0 301 00000 -1.0 1.0
goodsn 302 3 1 -1 2.3125 2.166 2.217 2.407 2.608 20.854 19.66 1.1945 180370000000.0 4981100000.0 0.0 2.312 3.0 37.38 12.76 2073800000.0 3320800000.0 -0.33 -99.0 -99.0 -99.0 -99.0 -99.0 302 goodsn-41-G141_00302 2.12677 2.0
goodsn 304 3 1 -1 0.8576 0.106 0.468 1.458 4.986 0.023748 -99.0 0.023748 -99.0 99034000.0 2.0 0.8576 3.0 -3.569 10.67 124180000.0 66023000.0 -2.11 -99.0 -99.0 -99.0 -99.0 -99.0 304 00000 -1.0 1.0
goodsn 305 2 1 1 2.0328 2.0227 2.0285 2.0457 2.0552 8.4443 2.4995 5.9448 22931000000.0 24791000000.0 1.0 2.033 2.0 7.195 26.91 20378000000.0 16527000000.0 -1.29 -99.0 -99.0 -99.0 -99.0 -99.0 305 goodsn-41-G141_00305 2.03284 1.0
goodsn 310 2 1 1 0.77 0.7476 0.7644 0.817 0.9393 1.037 0.98346 0.053551 9022600000.0 223310000.0 0.0 0.77 2.0 27.85 12.54 32837000.0 148880000.0 2.0 0.95 0.89 26.59 25.01 1.009 310 goodsn-41-G141_00310 0.77004 3.0
goodsn 311 2 1 1 1.1501 1.1467 1.1484 1.1531 1.1557 2.6923 0.040553 2.6518 372050000.0 11058000000.0 1.0 1.15 2.0 0.3758 53.15 11491000000.0 7372200000.0 -1.72 9.86 1.06 466.24 56.13 1.173 311 goodsn-41-G141_00311 1.15007 1.0
goodsn 313 3 1 -1 2.9392 2.705 2.818 3.066 3.174 8.2886 5.6734 2.6152 52049000000.0 10906000000.0 1.0 2.939 3.0 2.934 8.167 12278000000.0 7270600000.0 -1.86 -99.0 -99.0 -99.0 -99.0 -99.0 313 goodsn-41-G141_00313 3.1021 1.0
goodsn 315 3 1 -1 2.1776 1.331 1.98 2.414 2.572 10.531 8.3474 2.1832 76581000000.0 9104300000.0 0.0 2.178 3.0 19.39 11.96 7338600000.0 6069600000.0 -1.27 -99.0 -99.0 -99.0 -99.0 -99.0 315 goodsn-41-G141_00315 2.26578 1.0
goodsn 317 3 1 0 2.5416 2.45 2.477 2.607 2.691 469.53 465.03 4.5004 4266300000000.0 18767000000.0 0.0 2.542 3.0 571.8 14.77 3655800000.0 12511000000.0 1.12 -99.0 -99.0 -99.0 -99.0 -99.0 317 00000 -1.0 2.0
goodsn 324 2 1 1 0.9271 0.9224 0.9248 0.9295 0.9327 3.1477 0.91311 2.2346 8377100000.0 9318600000.0 0.0 0.9271 2.0 18.57 9.971 9186200000.0 6212400000.0 -1.6 5.49 0.85 139.16 23.04 1.079 324 goodsn-41-G141_00324 0.92707 1.0
